Offer SKU;Product SKU;Category code;Category label;Product;Offer state;Price;Original price;Quantity;Alert threshold;Logistic Class;Activated;Available Start Date;Available End Date;Discount price;Discount Start Date;Discount End Date;EAN;Inactivity reason;Fulfillment center code
0005452800;M5056798444026;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Exquisite Real Leather X Canvas Body Bag;New;46.66;70.00;0;;INIT;no;;;46.66;;;5056798444026;Out of stock;DEFAULT
0005452700;M5056798444040;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Exquisite Real Leather X Canvas Body Bag;New;46.66;70.00;0;;INIT;no;;;46.66;;;5056798444040;Out of stock;DEFAULT
0000085100;M5060474527583;men-accessories-mens_bags_and_wallets;Mens Bags & Wallets;Crumble 4-Card Leather Billfold Wallet with ID & Coin Pocket;New;31.99;54.99;8;;INIT;yes;;;31.99;;;5060474527583;;DEFAULT
0005076104;M5056798424882;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Nirma' Detachable Hood Leather Biker Jacket;New;125.59;169.00;0;;INIT;no;;;125.59;;;5056798424882;Out of stock;DEFAULT
0004508400;M5060821288426;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Expression' Croc Embossed Real Leather Shoulder Bag;New;45.32;100.00;36;;INIT;yes;;;45.32;;;5060821288426;;DEFAULT
0005054900;M5061042994226;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Lusso Legato' Real Leather Backpack;New;110.00;110.00;2;;INIT;yes;;;;;;5061042994226;;DEFAULT
0005384100;M5056798404501;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Glasgow' Real Leather Crossbody Bag;New;45.32;95.00;49;;INIT;yes;;;45.32;;;5056798404501;;DEFAULT
0005068200;M5061049604333;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Capolavoro di Pelle' Leather Crosbody Bag;New;45.32;69.99;31;;INIT;yes;;;45.32;;;5061049604333;;DEFAULT
0004849307;M5061049601318;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Isabella' Real Leather Wide Collar Biker Jacket;New;133.32;249.00;1;;INIT;yes;;;133.32;;;5061049601318;;DEFAULT
0003938902;M5056798412780;men-footwear-mens_shoes;Mens Shoes;Classic Suede Sheepskin Slippers;New;51.19;79.99;1;;INIT;yes;;;51.19;;;5056798412780;;DEFAULT
0005432400;M5056798415064;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Cardiff' Real Leather Crossbody Bag;New;48.65;100.00;96;;INIT;yes;;;48.65;;;5056798415064;;DEFAULT
0005190101;M5056798402088;women-clothing-womens_jackets_and_coats;Womens Jackets & Coats;'Eva' Leather Biker Style Jacket Women Coat;New;113.32;189.00;3;;INIT;yes;;;113.32;;;5056798402088;;DEFAULT
0005290200;M5056798413800;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Real Leather Small Purse with RFID Protection;New;19.99;34.99;114;;INIT;yes;;;19.99;;;5056798413800;;DEFAULT
0005472100;M5056798443265;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Compact Handbag With Detachable Crossbody Strap;New;100.00;100.00;4;;INIT;yes;;;;;;5056798443265;;DEFAULT
0005051400;M5061042993878;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Arte in Pelle' RFID Secure Leather Wallet/Purse with Zip and Stud Closure;New;33.32;34.99;11;;INIT;yes;;;33.32;;;5061042993878;;DEFAULT
0005051900;M5061042993922;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Incanto Cuoio' Crossbody Phone Bag;New;49.99;49.99;3;;INIT;yes;;;;;;5061042993922;;DEFAULT
0005054600;M5061042994158;women-accessories-womens_bags_and_purses;Womens Bags & Purses;'Sogno di Cuoio' Compact Twin Zip Crossbody Bag;New;80.00;80.00;1;;INIT;yes;;;;;;5061042994158;;DEFAULT
0005474100;M5056798443463;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Premium Leather Shoulder Bag with Detachable Crossbody Strap;New;150.00;150.00;3;;INIT;yes;;;;;;5056798443463;;DEFAULT
0005475200;M5056798443531;women-accessories-womens_bags_and_purses;Womens Bags & Purses;Exquisite Genuine Leather Compact Backpack;New;150.00;150.00;4;;INIT;yes;;;;;;5056798443531;;DEFAULT
