Index,Image,Style,Colour,Offer SKU,SKURestockDate,StyleRestockDate,Cost Price,RRP,Sale Price,Stock,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Total Sold
22,https://www.leathercompany.co.uk/images/products/1673015710-73055600.jpg,s4,MANDARIN,0004524900,2024-10-01,2023-02-01,-,46.00,29.99,0.0,0,25,16,3,44
22,https://www.leathercompany.co.uk/images/products/1673015710-73055600.jpg,s4,NAVY,0004525000,2024-10-01,2023-02-01,-,46.00,29.99,27.0,0,21,9,3,33
22,https://www.leathercompany.co.uk/images/products/1673015710-73055600.jpg,s4,TWO TONE TAN,0004525200,2023-08-01,2023-02-01,-,46.00,29.99,0.0,3,40,13,0,56
22,https://www.leathercompany.co.uk/images/products/1673015710-73055600.jpg,s4,poppy red,0004525100,2023-02-01,2023-02-01,-,46.00,29.99,0.0,2,20,16,10,48
23,https://www.leathercompany.co.uk/images/products/zoom/1740484089-03322000.jpg,bristol,BLACK,0005436400,2025-02-01,2025-02-01,7.5,115.00,33.49,32.0,0,0,12,121,133
23,https://www.leathercompany.co.uk/images/products/zoom/1740484089-03322000.jpg,bristol,BLUSH,0005436500,2025-03-01,2025-02-01,7.5,115.00,33.49,26.0,0,0,2,57,59
23,https://www.leathercompany.co.uk/images/products/zoom/1740484089-03322000.jpg,bristol,COGNAC,0005436600,2025-03-01,2025-02-01,7.5,115.00,33.49,50.0,0,0,3,31,34
23,https://www.leathercompany.co.uk/images/products/zoom/1740484089-03322000.jpg,bristol,FERN,0005436700,2025-03-01,2025-02-01,7.5,115.00,33.49,36.0,0,0,1,40,41
23,https://www.leathercompany.co.uk/images/products/zoom/1740484089-03322000.jpg,bristol,HOT PINK,0005436800,2025-03-01,2025-02-01,7.5,115.00,33.49,58.0,0,0,2,25,27
24,https://www.leathercompany.co.uk/images/products/zoom/1705081955-72712200.jpg,64198,2 tone tan,0004930900,2025-06-01,2023-11-01,16.65,149.00,74.0,0.0,17,93,6,1,117
24,https://www.leathercompany.co.uk/images/products/zoom/1705081955-72712200.jpg,64198,BLACK,0004930800,2024-10-01,2023-11-01,16.65,149.00,74.0,0.0,0,135,13,0,148
24,https://www.leathercompany.co.uk/images/products/zoom/1705081955-72712200.jpg,64198,cotwold navy,0004931000,2023-11-01,2023-11-01,16.65,149.00,74.0,25.0,8,49,24,2,83
25,https://www.leathercompany.co.uk/images/products/1645030066-21091300.jpg,C-05,BLK/CROC,0004300400,2023-06-01,2023-05-01,-,40.00,29.99,29.0,14,50,18,7,89
25,https://www.leathercompany.co.uk/images/products/1645030066-21091300.jpg,C-05,BORDO/CROC,0004300600,2023-06-01,2023-05-01,-,40.00,29.99,0.0,9,18,0,0,27
25,https://www.leathercompany.co.uk/images/products/1645030066-21091300.jpg,C-05,GREEN/CROC,0004300500,2023-05-01,2023-05-01,-,40.00,29.99,8.0,7,46,18,8,79
25,https://www.leathercompany.co.uk/images/products/1645030066-21091300.jpg,C-05,TAN/CROC,0004300800,2024-09-01,2023-05-01,-,40.00,29.99,0.0,6,12,0,0,18
25,https://www.leathercompany.co.uk/images/products/1645030066-21091300.jpg,C-05,TEAL/CROC,0004300700,2025-04-01,2023-05-01,-,40.00,29.99,32.0,8,0,0,4,12
26,https://www.leathercompany.co.uk/images/products/zoom/1705500544-93944100.jpg,64297,2 tone tan,0004930300,2025-07-01,2024-06-01,-,110.00,39.99,0.0,4,69,63,0,136
26,https://www.leathercompany.co.uk/images/products/zoom/1705500544-93944100.jpg,64297,BLACK,0004930200,2024-07-01,2024-06-01,-,110.00,39.99,0.0,4,89,55,0,148
26,https://www.leathercompany.co.uk/images/products/zoom/1705500544-93944100.jpg,64297,MANDARIN,0004930500,2024-10-01,2024-06-01,-,110.00,39.99,4.0,0,13,15,9,37
26,https://www.leathercompany.co.uk/images/products/zoom/1705500544-93944100.jpg,64297,cotwold navy,0004930400,2024-09-01,2024-06-01,-,110.00,39.99,57.0,3,49,30,6,88
26,https://www.leathercompany.co.uk/images/products/zoom/1705500544-93944100.jpg,64297,rasberry sorbet,0004930600,2024-06-01,2024-06-01,-,110.00,39.99,14.0,2,21,8,4,35
26,https://www.leathercompany.co.uk/images/products/zoom/1705500544-93944100.jpg,64297,sodalite blue,0004930700,2024-11-01,2024-06-01,-,110.00,39.99,18.0,0,15,4,5,24
27,https://www.leathercompany.co.uk/images/products/zoom/1673014446-83266700.jpg,s5,BLACK,0004525300,2023-02-01,2023-02-01,-,39.00,24.99,20.0,7,82,38,5,132
27,https://www.leathercompany.co.uk/images/products/zoom/1673014446-83266700.jpg,s5,MANDARIN,0004525500,2025-08-01,2023-02-01,-,39.00,24.99,27.0,1,15,8,0,24
27,https://www.leathercompany.co.uk/images/products/zoom/1673014446-83266700.jpg,s5,NAVY,0004525600,2025-08-01,2023-02-01,-,39.00,24.99,24.0,2,18,8,1,29
27,https://www.leathercompany.co.uk/images/products/zoom/1673014446-83266700.jpg,s5,poppy red,0004525700,2023-02-01,2023-02-01,-,39.00,24.99,21.0,4,15,8,2,29
29,https://www.leathercompany.co.uk/images/products/1673445483-70726800.jpg,s2,MANDARIN,0004523700,2024-08-01,2024-08-01,-,62.00,34.99,0.0,2,39,11,0,52
31,https://www.leathercompany.co.uk/images/products/zoom/1704995905-61933100.jpg,64192,2 tone tan,0004927100,2025-05-01,2023-12-01,-,110.00,39.99,0.0,12,61,0,9,82
31,https://www.leathercompany.co.uk/images/products/zoom/1704995905-61933100.jpg,64192,BLACK,0004927000,2025-05-01,2023-12-01,-,110.00,39.99,0.0,26,33,1,10,70
31,https://www.leathercompany.co.uk/images/products/zoom/1704995905-61933100.jpg,64192,ROSE,0004927400,2025-05-01,2023-12-01,-,110.00,39.99,0.0,10,60,1,1,72
31,https://www.leathercompany.co.uk/images/products/zoom/1704995905-61933100.jpg,64192,deep lake,0004927300,2023-12-01,2023-12-01,-,110.00,39.99,2.0,4,32,16,2,54
31,https://www.leathercompany.co.uk/images/products/zoom/1704995905-61933100.jpg,64192,parafin,0004927200,2025-05-01,2023-12-01,-,110.00,39.99,0.0,13,46,0,5,64
32,https://www.leathercompany.co.uk/images/products/zoom/1666790023-72595000.jpg,63791,BLACK,0004476000,2025-06-01,2025-06-01,-,110.00,34.99,13.0,19,103,0,3,125
32,https://www.leathercompany.co.uk/images/products/zoom/1666790023-72595000.jpg,63791,TAN,0004476300,2025-06-01,2025-06-01,-,110.00,34.99,20.0,13,122,0,3,138
33,https://www.leathercompany.co.uk/images/products/zoom/1727261139-10115600.jpg,rose,BLACK,0005292100,2024-10-01,2024-10-01,8.95,99.00,34.99,465.0,0,156,99,20,275
33,https://www.leathercompany.co.uk/images/products/zoom/1727261139-10115600.jpg,rose,BROWN,0005292200,2024-10-01,2024-10-01,8.95,99.00,34.99,120.0,0,48,22,14,84
33,https://www.leathercompany.co.uk/images/products/zoom/1727261139-10115600.jpg,rose,COGNAC,0005292300,2024-10-01,2024-10-01,8.95,99.00,34.99,536.0,0,30,16,9,55
35,https://www.leathercompany.co.uk/images/products/zoom/1725454238-42118000.jpg,Amelia,BLACK,0005269500,2024-10-01,2024-09-01,-,150.00,50.0,0.0,0,113,82,46,241
35,https://www.leathercompany.co.uk/images/products/zoom/1725454238-42118000.jpg,Amelia,COGNAC,0005269600,2024-09-01,2024-09-01,-,150.00,50.0,65.0,1,76,41,39,157
36,https://www.leathercompany.co.uk/images/products/zoom/1669131011-49131000.jpg,63787 croc,BLK/CROC,0004507500,2024-06-01,2024-06-01,-,100.00,33.99,0.0,17,160,1,0,178
36,https://www.leathercompany.co.uk/images/products/zoom/1669131011-49131000.jpg,63787 croc,GREEN/CROC,0004507600,2024-06-01,2024-06-01,-,100.00,33.99,0.0,10,56,1,0,67
36,https://www.leathercompany.co.uk/images/products/zoom/1669131011-49131000.jpg,63787 croc,TAN/CROC,0004507700,2024-07-01,2024-06-01,-,100.00,33.99,37.0,8,61,60,24,153
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,2 tone tan,0004926200,2023-12-01,2023-11-01,14.05,110.00,54.99,28.0,10,22,12,6,50
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,BLACK,0004926100,2023-11-01,2023-11-01,14.05,110.00,54.99,27.0,23,30,22,8,83
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,GUMDROP GREEN,0004926300,2025-05-01,2023-11-01,14.05,110.00,54.99,62.0,2,2,0,2,6
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,MANDARIN,0004926400,2023-11-01,2023-11-01,14.05,110.00,54.99,24.0,12,4,5,6,27
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,ROSE,0004926600,2023-11-01,2023-11-01,14.05,110.00,54.99,49.0,2,5,3,1,11
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,ochre yellow,0004926700,2024-11-01,2023-11-01,14.05,110.00,54.99,23.0,0,4,1,1,6
38,https://www.leathercompany.co.uk/images/products/zoom/1705488746-67551500.jpg,64296,parafin,0004926500,2023-12-01,2023-11-01,14.05,110.00,54.99,67.0,5,5,3,3,16
